model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,best_params,param_model__alpha,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
random_forest,randomized,2.6710529804229735,0.25158160411180885,0.9252873420715332,0.20255579446167235,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': 5}",0.9513776036717562,0.9494297912060344,0.9374168800138497,0.9444275304085661,0.9329053082531823,0.9431114227106777,0.007022481846788177,15,-11.312150497874494,-10.657421265888944,-11.188013294842516,-10.428402701990697,-12.822401786457956,-11.281677909410922,0.8368161853779019,15,-2.4319610711582333,-2.35058557778748,-2.3772811968950434,-2.3213538599748884,-2.4477322620699486,-2.3857827935771185,0.04781710697545448,14,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,5.0,5,
random_forest,randomized,3.1047501087188722,0.523947237799227,1.744473648071289,1.321660029077882,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",0.9520188273728556,0.9490759042895289,0.9374182182890194,0.9443087284734379,0.9328919945810137,0.9431427346011712,0.007116106029585415,14,-11.162967825743904,-10.73200118239773,-11.187774050771699,-10.450696374206473,-12.824946149497052,-11.271677116523371,0.8242283198566872,14,-2.431774030189016,-2.3586450918614,-2.3772856961239746,-2.3252213242644455,-2.449736428462121,-2.3885325141801914,0.04613849483450953,15,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,3.0,5,
random_forest,randomized,2.3824893951416017,0.7691718318336457,2.5590328693389894,1.010606995577278,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': 10}",0.9719195400424889,0.9679774837385601,0.9650899073006359,0.969559687474369,0.9599282426247588,0.9668949722361626,0.004130675513612786,8,-6.5330056327229284,-6.748586844527097,-6.240893412330737,-5.712249963436264,-7.658074878616193,-6.578562146326644,0.6420044400544005,8,-1.5551334710893503,-1.5838540464440496,-1.4757061777152767,-1.4483049698949078,-1.5617656126143646,-1.5249528555515899,0.05298213393004173,8,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,1.0,10,
random_forest,randomized,2.397579288482666,0.7021747854869639,2.9665610790252686,0.6349468243506878,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': None}",0.9723991393902836,0.9685814849929254,0.9658743085482996,0.9700989461745777,0.9601252322382905,0.9674158222688753,0.004217116089388529,5,-6.421425364973282,-6.621296568959452,-6.100665638622846,-5.611055848298452,-7.620428383689397,-6.4749743609086865,0.6667540502837598,5,-1.5163672405629878,-1.5471916350306396,-1.4364176960932011,-1.4094683811819406,-1.5334757204551006,-1.4885841346647741,0.0551409726240927,3,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,1.0,,
random_forest,randomized,3.8181697845458986,0.6737947580441964,1.8903669834136962,0.5230871657376289,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",0.9745443372946471,0.9684255319336759,0.9646942956118518,0.9698769773444118,0.9623274555407506,0.9679737195450674,0.004234016080190233,1,-5.922338454939819,-6.654162904491073,-6.311617096843294,-5.6527092130900085,-7.199563613728163,-6.3480782566184715,0.5449471582894495,2,-1.4987965007917432,-1.5587368149503333,-1.4452866329605145,-1.4104645015083925,-1.5149125375414025,-1.4856393975504771,0.05225489283531183,2,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,3.0,20,
random_forest,randomized,4.160222148895263,0.7901724808664924,1.506867265701294,0.513600991364704,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': None}",0.9723789174425056,0.9676222461971009,0.9626681237429863,0.9681878000392667,0.9589421399986361,0.9659598454840991,0.004669378218548896,10,-6.426130063505221,-6.823451398561532,-6.673836778628427,-5.969690288479019,-7.846527999804096,-6.747927305795659,0.6208579708673276,10,-1.563814838509307,-1.5967016234141769,-1.4931527060665266,-1.4555507254560516,-1.5762905403596355,-1.5371020867611394,0.05363503214282703,10,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,5.0,,
random_forest,randomized,3.7107738494873046,0.8493429739343709,1.5545546054840087,0.7420695354007519,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': None}",0.9747321222691322,0.9683355142030776,0.9647775906697506,0.9693545472703475,0.9620822788830624,0.9678564106590739,0.004302768735361184,3,-5.878649701340052,-6.673133695778359,-6.296726400831778,-5.750745367251015,-7.246419088158278,-6.369134850671896,0.5459426984028638,3,-1.4900241862219294,-1.5647528873787961,-1.4489695285029118,-1.421762618917181,-1.5237232759470982,-1.4898464993935834,0.05111746482989706,4,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,3.0,,
random_forest,randomized,3.8912970542907717,0.968342692538746,1.3919098854064942,0.9470330072027001,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': 10}",0.9721315565912181,0.9678533698502815,0.9650452690551854,0.9692152856680049,0.9595842032360413,0.9667659368801462,0.004254637252027211,9,-6.48367932862485,-6.7747432323269035,-6.2488734121081455,-5.776878380248824,-7.723823914160628,-6.601599653493871,0.6492845559602366,9,-1.5444299156945853,-1.5951400706377539,-1.4791255278899764,-1.4540200029212196,-1.575298171251647,-1.5296027376790362,0.05452294630739373,9,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,1.0,10,
random_forest,randomized,3.083180284500122,0.8916401301252216,1.6117805004119874,0.47070609329484014,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 10}",0.9741535258087446,0.9682038747093992,0.96462636301809,0.9695222205868572,0.9618299649707506,0.9676671898187683,0.004221884554444583,4,-6.0132619527243065,-6.700876067677106,-6.3237614380383,-5.719280779123175,-7.294638556431325,-6.410363758798842,0.5493859864401196,4,-1.5226833967507416,-1.5824428160494677,-1.4682297919554683,-1.4361157166064005,-1.5384810896022962,-1.5095905621928747,0.05181274366664523,7,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,3.0,10,
random_forest,randomized,2.0186806678771974,0.25300624347485745,0.7767568111419678,0.3514428124666897,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None}",0.9745443372946471,0.9684255319336759,0.9646942956118518,0.9698769773444118,0.9623274555407506,0.9679737195450674,0.004234016080190233,1,-5.922338454939818,-6.654162904491073,-6.311617096843295,-5.652709213090005,-7.19956361372816,-6.34807825661847,0.5449471582894497,1,-1.4987965007917434,-1.558736814950333,-1.4452866329605147,-1.410464501508392,-1.5149125375414016,-1.485639397550477,0.05225489283531171,1,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,400.0,3.0,,
