model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,best_params,param_model__alpha,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
random_forest,randomized,3.530925178527832,0.10513697955900897,0.5102261066436767,0.35697918529696415,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': 5}",-0.005985680752781608,0.0050328506856580635,0.011867419733807894,0.005314178970357686,0.018380189985185202,0.006921791724445447,0.008105670729485735,2,-90.09151318921255,-97.28659018243458,-98.47910361643986,-95.94539796198416,-95.37886796244531,-95.4362945825033,2.8813695644220347,2,-7.304357402249778,-7.659458603620725,-7.728706003697377,-7.763378296512963,-7.703800140690777,-7.631940089354323,0.1672550130644024,1,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,5.0,5,
random_forest,randomized,3.424410581588745,0.1253178514651363,0.47493581771850585,0.13686979134073549,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",-0.00392706203526183,0.00400075221909435,0.011089272981972487,0.006303742920111377,0.0184027902969347,0.007173899276570217,0.007422607643948627,1,-89.90715263727883,-97.38750742438945,-98.55665514761411,-95.84994660944587,-95.37667200823955,-95.41558676539356,2.97616568904989,1,-7.299365812208061,-7.663191032691546,-7.738335007550876,-7.761103841284142,-7.702786980521701,-7.632956534851266,0.17005854338450932,2,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,3.0,5,
random_forest,randomized,2.684787654876709,1.2654274124420588,2.43102126121521,1.7418196872592688,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': 10}",-0.032404489182473295,-0.009189021884458803,-0.004297964259105891,-0.0023961885534462546,-0.006065918237873502,-0.010870716423471549,0.010996692639127514,6,-92.45746180421253,-98.67718633358314,-100.09017540683547,-96.68912453862195,-97.75416856723606,-97.13362333009783,2.591251786736235,6,-7.423650164075544,-7.746959123567793,-7.812655990288728,-7.811363041820822,-7.787477264322952,-7.716421116815168,0.14830475158901013,7,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,1.0,10,
random_forest,randomized,4.702423143386841,0.7274602395972801,1.1676587104797362,0.9157343413547334,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': None}",-0.04484361150064453,-0.017650519587805613,-0.020658257584043938,-0.013183323354177823,-0.025080361165255693,-0.02428321463838552,0.010988229206928015,14,-93.57145315998527,-99.50454054317929,-101.72067221841506,-97.72962991171997,-99.60170263577005,-98.42559969381394,2.7368575753355193,14,-7.504990405290042,-7.80758763727916,-7.890067639015498,-7.873424806470752,-7.832299539870641,-7.781674005585218,0.14139000313523548,14,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,1.0,,
random_forest,randomized,4.5145658493042,0.8246720926209364,1.3999137878417969,0.6198008083355266,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",-0.04008876146554341,-0.022347828773137124,-0.015274843427540041,-0.009746548569398827,-0.01852577643725173,-0.021196751734574228,0.010310608804366125,11,-93.14563036464538,-99.96383730889508,-101.1841512989391,-97.3981255135875,-98.96482788554316,-98.13131447432204,2.784503881027295,11,-7.487650019765916,-7.812076157925916,-7.851808949074783,-7.858166209454987,-7.801804764853717,-7.762301220215065,0.13904897414860046,11,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,3.0,20,
random_forest,randomized,4.9728563785552975,0.8797191258760514,1.5389770984649658,0.9331060696089454,"{'model__n_estimators': 400, 'model__min_samples_leaf': 5, 'model__max_depth': None}",-0.027494107362281417,-0.01625638931020479,-0.011943424491072552,-0.011272795696934734,-0.013199932166860329,-0.016033329805470765,0.005980256355828031,8,-92.01771028788195,-99.36822430291815,-100.85213598319496,-97.54534424833149,-98.4473434253971,-97.64615164954473,3.0191155104307095,8,-7.4436150936034835,-7.786190603544502,-7.84197978512547,-7.8512677466249965,-7.791314183325471,-7.742873482444784,0.15188800710541714,8,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,5.0,,
random_forest,randomized,2.599884366989136,0.3723534413441075,2.3736048221588133,0.32379106493633153,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': None}",-0.041082653608776054,-0.020214396127979928,-0.020367370741446456,-0.0154713306962313,-0.01961805783296544,-0.023350761801479835,0.009046280035236314,13,-93.23463883548534,-99.75523304736316,-101.69168190265692,-97.95032650790353,-99.07095916157971,-98.34056789099773,2.8279856396000413,13,-7.508116439947634,-7.800956108779619,-7.890679183356319,-7.890694766633173,-7.805652613699976,-7.779219822483344,0.14108015800613402,13,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,3.0,,
random_forest,randomized,2.8325767040252687,0.5693660225818286,1.9042404651641847,0.5549287727319974,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': 10}",-0.03388264674642327,-0.00796729239702354,-0.004701403649349567,-0.00214746431918611,-0.006223526249517608,-0.01098446667230002,0.011607463431456135,7,-92.58983888891285,-98.55772721773211,-100.1303829157348,-96.66513309817478,-97.76948251422353,-97.14251292695562,2.5407881383389546,7,-7.43944091461151,-7.732013582397205,-7.805341172696852,-7.808641474820733,-7.785830815268955,-7.71425359195905,0.14011905194071123,6,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,1.0,10,
random_forest,randomized,4.2135396003723145,0.4722048991466689,0.5709941864013672,0.30643731096211446,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 10}",-0.024141470315575564,-0.012060074989784786,-0.0010270244756407365,-0.0017642019785473195,-0.0030018776831701732,-0.008398929888543715,0.008817305018122877,5,-91.71746332563302,-98.95791416167509,-99.76418755430235,-96.62816438200433,-97.4564517561886,-96.90483623596069,2.817114965296492,5,-7.404597581798768,-7.756033682128512,-7.793380349781885,-7.816603982432775,-7.759939986154506,-7.706111116459288,0.15239738440989864,5,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,3.0,10,
random_forest,randomized,4.063882064819336,0.032955465840699416,0.14026827812194825,0.029858298403083725,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None}",-0.03970606352318784,-0.02228767774757956,-0.01671462357634912,-0.011382397132848832,-0.019670304773444114,-0.02195221335068189,0.009588244892442086,12,-93.11135767331302,-99.95795582006754,-101.32764242684146,-97.55591618286967,-99.07603572379504,-98.20578156537735,2.8266217279573005,12,-7.48422920591179,-7.81747152955161,-7.859097484960242,-7.863340815282177,-7.804656339223383,-7.76575907498584,0.1426046963595836,12,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,400.0,3.0,,
