model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,split4_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,best_params,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
random_forest,randomized,0.47054214477539064,0.002348306393511776,0.39832367897033694,0.05314131071013582,,balanced_subsample,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.7969543147208121,0.8071065989847716,0.7842639593908629,0.7837150127226463,0.806615776081425,0.7957311323801036,0.01024944946818857,5,0.4918032786885246,0.5370370370370371,0.45901639344262296,0.45161290322580644,0.5405405405405406,0.49600203058690634,0.03747935998280908,5,0.379746835443038,0.3625,0.35,0.35443037974683544,0.25316455696202533,0.3399683544303798,0.04457507363485736,7,0.42857142857142855,0.43283582089552236,0.3971631205673759,0.3971631205673759,0.3448275862068966,0.4001122153617199,0.03147870936568384,7,0.7002210166767129,0.7254777070063695,0.7265127388535032,0.7280899782310731,0.7275255986454889,0.7215654078826296,0.010709426653949857,9,0.42191878709027797,0.507170700874829,0.45046895400913384,0.43950621680732377,0.44075040574938035,0.451963012906189,0.029098697070520724,7,0.6406670685151699,0.6414410828025477,0.6224522292993631,0.6230750624848826,0.5995122147867451,0.6254295315777416,0.015327540362073865,7,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",200.0,3.0,,
random_forest,randomized,1.5256553173065186,0.0755007421681507,0.5092981338500977,0.06869067230589375,,balanced_subsample,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.8071065989847716,0.8324873096446701,0.7944162436548223,0.8015267175572519,0.7938931297709924,0.8058859999225018,0.014166913051589305,1,0.5454545454545454,0.8181818181818182,0.4827586206896552,0.5185185185185185,0.4166666666666667,0.5563160339022408,0.1378643912579776,1,0.22784810126582278,0.225,0.175,0.17721518987341772,0.06329113924050633,0.17367088607594938,0.05961185406720104,14,0.32142857142857145,0.35294117647058826,0.25688073394495414,0.2641509433962264,0.10989010989010989,0.26105830702609,0.08362520058366245,13,0.703194695599759,0.7412420382165605,0.7224522292993629,0.7286543578166573,0.7125292267999678,0.7216145095464614,0.013094525788757777,8,0.40712329975113304,0.5156776133115442,0.4639840337087876,0.4393364312284324,0.42985200601066015,0.4511946768021115,0.03704060099602416,8,0.5901145268233876,0.6061305732484077,0.5636146496815286,0.5679069579940337,0.5204990728049665,0.5696531561104649,0.0289996769839429,13,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",400.0,1.0,20,
random_forest,randomized,0.8046746253967285,0.08651536314394037,0.4760882377624512,0.021677559088929543,,balanced_subsample,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.8121827411167513,0.8121827411167513,0.8020304568527918,0.7989821882951654,0.7964376590330788,0.8043631572829077,0.006625732015721166,3,0.5714285714285714,0.6363636363636364,0.5384615384615384,0.5,0.46153846153846156,0.5415584415584416,0.060033560108434955,3,0.25316455696202533,0.175,0.175,0.189873417721519,0.0759493670886076,0.17379746835443038,0.056806186261960816,13,0.3508771929824561,0.27450980392156865,0.2641509433962264,0.27522935779816515,0.13043478260869565,0.2590404161414224,0.0714155498977413,15,0.7127988748241912,0.7356289808917198,0.7343351910828025,0.7299242118842215,0.7205716358945417,0.7266517789154954,0.008708672531535221,1,0.4139240825592674,0.5041092937036943,0.45198373587415963,0.4281173593883978,0.4223229882186426,0.4440914919488323,0.032568504100280705,15,0.6027727546714888,0.5747611464968153,0.568391719745223,0.5710513585422882,0.5268281867290172,0.5687610332369665,0.02431684252854048,15,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",200.0,1.0,,
random_forest,randomized,1.6236225605010985,0.04178371619336282,0.5205521583557129,0.030498487261247723,,balanced_subsample,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': 10, 'model__class_weight': 'balanced_subsample'}",0.7944162436548223,0.8147208121827412,0.7918781725888325,0.7760814249363868,0.7989821882951654,0.7952157683315897,0.012430080749486228,7,0.48,0.5686274509803921,0.4807692307692308,0.41509433962264153,0.5,0.4888982042744529,0.049137096649536964,9,0.3037974683544304,0.3625,0.3125,0.27848101265822783,0.17721518987341772,0.28689873417721523,0.06125011240666055,11,0.37209302325581395,0.44274809160305345,0.3787878787878788,0.3333333333333333,0.2616822429906542,0.35772891399414675,0.059494832651232794,11,0.7095840867992768,0.7428742038216561,0.7162818471337581,0.7243005724421511,0.7024913327420785,0.7191064085877841,0.013903962984957077,10,0.3926022163238502,0.5342037151042088,0.4471142477111097,0.44347515024403045,0.424025296073677,0.4482841250913753,0.04710761413921441,11,0.6106288929073739,0.6462181528662421,0.6132563694267517,0.5898774490042732,0.5663146013061356,0.6052590931021553,0.02654695527446513,11,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",400.0,1.0,10,
random_forest,randomized,0.6786863327026367,0.14685790443021804,0.4962149620056152,0.0625796409226922,,balanced,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.7918781725888325,0.8071065989847716,0.7868020304568528,0.7862595419847328,0.8015267175572519,0.7947146123144883,0.008271743077817846,8,0.47058823529411764,0.5384615384615384,0.46153846153846156,0.4489795918367347,0.5172413793103449,0.48736184128823945,0.03442488552289497,10,0.3037974683544304,0.35,0.3,0.27848101265822783,0.189873417721519,0.28443037974683544,0.052712970571423,12,0.36923076923076925,0.42424242424242425,0.36363636363636365,0.34375,0.2777777777777778,0.355727466977467,0.047241513414895,12,0.7058870805706249,0.7350716560509553,0.7210987261146496,0.7233330645811497,0.6963234701281948,0.7163427994891147,0.01365538954700192,15,0.3754716991287538,0.5208594305704255,0.4477354218930465,0.4397082568868197,0.4239973304930343,0.441554427794416,0.046917108167319845,16,0.6090415913200723,0.6367834394904459,0.6054140127388535,0.5962468757558655,0.5726437152301862,0.6040259269070847,0.020714705641046816,12,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",200.0,1.0,10,
random_forest,randomized,1.2196428775787354,0.07561212069344259,0.5312281131744385,0.07358949692963578,,balanced,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': 20, 'model__class_weight': 'balanced'}",0.8045685279187818,0.8248730964467005,0.7918781725888325,0.7989821882951654,0.7964376590330788,0.8033479288565119,0.011516853132502164,4,0.5294117647058824,0.7894736842105263,0.4642857142857143,0.5,0.46153846153846156,0.548941924948117,0.1228318409943482,2,0.22784810126582278,0.1875,0.1625,0.16455696202531644,0.0759493670886076,0.16367088607594935,0.049766982263685956,16,0.3185840707964602,0.30303030303030304,0.24074074074074073,0.24761904761904763,0.13043478260869565,0.24808178895904942,0.06615864896536493,16,0.7034358047016276,0.7362858280254778,0.7253582802547771,0.7351648794646457,0.7100701443199225,0.7220629873532902,0.013233351401304353,6,0.3949857816068708,0.5172108603513371,0.4472109795181795,0.42663736410350067,0.43803236842220405,0.4448154708004184,0.04026483045122519,13,0.588527225236086,0.5873805732484076,0.5573646496815287,0.561577844069983,0.5268281867290172,0.5643356957930046,0.022712599762817167,16,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",400.0,1.0,20,
random_forest,randomized,0.7197929382324219,0.0920834702388301,0.46680221557617185,0.09293952640494148,,balanced,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.7817258883248731,0.7944162436548223,0.7741116751269036,0.7811704834605598,0.8142493638676844,0.7891347308869687,0.01416087254671872,12,0.4533333333333333,0.4931506849315068,0.44155844155844154,0.4567901234567901,0.56,0.4809665166560144,0.04311805338280919,12,0.43037974683544306,0.45,0.425,0.46835443037974683,0.35443037974683544,0.42563291139240506,0.03875981611950306,5,0.44155844155844154,0.47058823529411764,0.43312101910828027,0.4625,0.43410852713178294,0.4483752446185244,0.01533378685820531,5,0.6923046011653607,0.7357882165605095,0.7386942675159235,0.7363137950495848,0.7168023865193905,0.7239806533621539,0.017680017939308193,4,0.40399037816150835,0.5243042204611071,0.47302776825666537,0.4363023678031231,0.43514418095645435,0.4545537831277716,0.04116531640669876,4,0.6501105083383565,0.6660828025477707,0.6440286624203821,0.6641135209223575,0.6421833427396597,0.6533037673937054,0.010000428300488794,5,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",200.0,5.0,,
random_forest,randomized,1.500464963912964,0.07787874508558572,0.4804840564727783,0.04445501134556159,,balanced_subsample,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.8045685279187818,0.8299492385786802,0.799492385786802,0.7964376590330788,0.7938931297709924,0.8048681882176669,0.01303513609842428,2,0.5294117647058824,0.76,0.5185185185185185,0.48148148148148145,0.4166666666666667,0.5412156862745098,0.11627699981372581,4,0.22784810126582278,0.2375,0.175,0.16455696202531644,0.06329113924050633,0.17363924050632912,0.062093220386333976,15,0.3185840707964602,0.3619047619047619,0.2616822429906542,0.24528301886792453,0.10989010989010989,0.2594688408899821,0.0855191929146608,14,0.6982921438617641,0.740843949044586,0.7253184713375797,0.7292388938160123,0.7186366201725388,0.7224660156464962,0.014076911343856342,5,0.41147955076652065,0.528424251789095,0.4566695504263343,0.43508092238911833,0.4332686051378363,0.45298457610178094,0.04034018135550307,5,0.588527225236086,0.6091958598726115,0.5667993630573248,0.559985487382085,0.5204990728049665,0.5690014016706149,0.029784102625279824,14,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",400.0,1.0,,
random_forest,randomized,0.7026741027832031,0.081088665695969,0.42789173126220703,0.058064814571617725,,balanced,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': 5, 'model__class_weight': 'balanced'}",0.766497461928934,0.7944162436548223,0.7690355329949239,0.7811704834605598,0.8091603053435115,0.7840560054765504,0.015998773011143275,15,0.42696629213483145,0.49382716049382713,0.43820224719101125,0.46601941747572817,0.5285714285714286,0.4707173091733653,0.03707995494442879,15,0.4810126582278481,0.5,0.4875,0.6075949367088608,0.46835443037974683,0.508892405063291,0.050397435034926774,1,0.4523809523809524,0.4968944099378882,0.46153846153846156,0.5274725274725275,0.4966442953020134,0.48698612932636853,0.027113482612184894,2,0.697448262005224,0.7465366242038216,0.70203025477707,0.7410707086995082,0.6982181730226559,0.7170608045416559,0.0219586586837886,13,0.3930174033555124,0.5402403646655793,0.4514269955513798,0.45853964449987156,0.44282165173810223,0.4572092119620891,0.04744884946552531,2,0.6595539481615431,0.6847133757961783,0.6641321656050956,0.7162178505200355,0.6816294444892365,0.6812493569144178,0.019993141012347705,2,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",200.0,3.0,5,
random_forest,randomized,1.1088856220245362,0.059884189087328246,0.40148205757141114,0.01286801401141913,,balanced,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.7842639593908629,0.8071065989847716,0.7893401015228426,0.7786259541984732,0.8091603053435115,0.7936993838880925,0.012280328739004075,9,0.45161290322580644,0.5333333333333333,0.47619047619047616,0.43548387096774194,0.5625,0.4918241167434716,0.048484371171683,6,0.35443037974683544,0.4,0.375,0.34177215189873417,0.22784810126582278,0.3398101265822785,0.0593535921610435,8,0.3971631205673759,0.45714285714285713,0.4195804195804196,0.3829787234042553,0.32432432432432434,0.3962378890038465,0.04382353520311089,8,0.7045609805103477,0.7268710191082801,0.7232484076433121,0.7307103120212851,0.7086591953559623,0.7188099829278374,0.01031862693397395,11,0.4118958025090974,0.5116904972175191,0.4597472599710576,0.43445279631403655,0.4277579880644732,0.44910886881523676,0.03488583796833463,9,0.6232469359051638,0.6554140127388535,0.634952229299363,0.615153591872934,0.5916310570023382,0.6240795653637304,0.021134494944590354,8,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",400.0,3.0,,
