model,eps,min_samples,cluster_count_excluding_noise,noise_count,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time_seconds
DBSCAN,2.4,5,2,36,0.20224719101123595,0.32659976689260006,71.93380032848144,1.1862366155860484,0.007192499999291613
DBSCAN,2.4,6,2,39,0.21910112359550563,0.32993405669319253,72.14423122361433,1.1818613827659414,0.006993599999987055
DBSCAN,2.4,8,2,43,0.24157303370786518,0.3350567389795617,69.98277629434318,1.1457245017044173,0.006358299999192241
DBSCAN,2.4,10,2,49,0.2752808988764045,0.3375089345143523,64.99126525614504,1.1125083962006348,0.006388499999957276
DBSCAN,2.5,3,1,23,0.12921348314606743,,,,0.0076265999996394385
DBSCAN,2.5,4,1,23,0.12921348314606743,,,,0.00721239999984391
DBSCAN,2.5,5,1,24,0.1348314606741573,,,,0.0066866999986814335
DBSCAN,2.5,6,1,26,0.14606741573033707,,,,0.007637699998667813
DBSCAN,2.5,8,2,30,0.16853932584269662,0.3182973687818828,73.11474491532981,1.2061796110589749,0.007324599999265047
DBSCAN,2.5,10,2,32,0.1797752808988764,0.3228430429558367,74.10974394891934,1.19611606576964,0.009788100000150735
DBSCAN,2.6,3,1,20,0.11235955056179775,,,,0.0073643999985506525
DBSCAN,2.6,4,1,20,0.11235955056179775,,,,0.007712300001003314
DBSCAN,2.6,5,1,20,0.11235955056179775,,,,0.006399800000508549
DBSCAN,2.6,6,1,22,0.12359550561797752,,,,0.008745199998884345
DBSCAN,2.6,8,1,25,0.1404494382022472,,,,0.007127000000764383
DBSCAN,2.6,10,2,27,0.15168539325842698,0.3076940448977627,71.5155578250234,1.2450734457817378,0.00905600000078266
DBSCAN,2.7,3,1,18,0.10112359550561797,,,,0.008602199999586446
DBSCAN,2.7,4,1,18,0.10112359550561797,,,,0.007453700000041863
DBSCAN,2.7,5,1,18,0.10112359550561797,,,,0.0073673000006238
DBSCAN,2.7,6,1,21,0.11797752808988764,,,,0.006341999998767278
DBSCAN,2.7,8,1,22,0.12359550561797752,,,,0.0060285999988991534
DBSCAN,2.7,10,1,22,0.12359550561797752,,,,0.007140100000469829
